n,avg_burst,avg_arrival,priority_var,best
4,5.5,2.25,4,Priority
10,5.9,2.6,4,Priority
10,7.6,2.9,4,Priority
6,6.333333333333333,2.5,3,Priority
4,8.25,3.25,4,Priority
4,6.75,1.25,4,Priority
8,5.75,2.125,4,Priority
6,4.666666666666667,2.3333333333333335,4,Priority
9,6.555555555555555,2.6666666666666665,4,Priority
4,4.25,3.25,3,Priority
7,4.714285714285714,2.7142857142857144,3,Priority
4,4.0,4.0,3,Priority
5,7.6,1.8,4,Priority
8,5.25,1.875,2,RR
10,5.6,2.9,4,Priority
6,7.166666666666667,1.6666666666666667,2,FCFS
9,6.777777777777778,2.7777777777777777,4,Priority
10,4.8,2.2,4,Priority
5,4.6,2.2,2,FCFS
9,6.333333333333333,3.0,3,Priority
8,6.25,2.375,4,Priority
6,5.0,2.0,4,Priority
10,5.4,2.3,4,Priority
7,3.4285714285714284,1.7142857142857142,4,SJF
10,6.5,1.7,4,Priority
5,5.2,1.4,4,Priority
10,5.1,2.7,3,Priority
9,5.0,2.5555555555555554,4,Priority
9,5.777777777777778,1.8888888888888888,4,Priority
8,4.25,2.75,4,Priority
4,5.25,2.75,3,Priority
8,6.375,2.0,3,Priority
10,4.8,3.1,3,Priority
7,6.0,2.142857142857143,4,Priority
3,4.666666666666667,2.6666666666666665,0,FCFS
4,6.5,2.5,4,Priority
7,6.428571428571429,2.4285714285714284,3,Priority
4,6.5,3.25,3,Priority
9,5.0,2.7777777777777777,4,Priority
10,7.1,2.2,4,Priority
6,6.333333333333333,2.5,4,Priority
5,5.4,2.4,2,FCFS
7,7.142857142857143,2.4285714285714284,4,Priority
6,5.833333333333333,2.8333333333333335,3,Priority
7,5.428571428571429,3.142857142857143,2,RR
7,5.0,2.142857142857143,4,Priority
5,6.0,3.6,3,Priority
8,7.125,2.125,4,Priority
8,4.5,2.75,4,Priority
7,4.428571428571429,1.5714285714285714,4,Priority
4,6.0,2.25,4,Priority
5,5.8,2.4,4,Priority
9,4.555555555555555,4.111111111111111,3,Priority
4,7.25,1.75,2,FCFS
10,6.2,2.5,3,Priority
9,6.333333333333333,1.3333333333333333,4,Priority
5,6.6,3.6,2,FCFS
6,5.166666666666667,2.6666666666666665,3,Priority
10,7.0,1.8,4,Priority
8,7.0,2.75,4,Priority
7,5.0,2.4285714285714284,3,Priority
5,8.2,1.4,3,Priority
10,4.1,1.7,4,Priority
8,3.875,3.625,4,SJF
4,5.25,1.5,1,FCFS
3,6.333333333333333,1.3333333333333333,3,Priority
6,7.333333333333333,3.3333333333333335,3,Priority
7,4.571428571428571,3.0,4,Priority
5,6.8,3.0,4,Priority
6,5.5,3.0,4,Priority
4,5.5,2.75,3,Priority
9,4.666666666666667,2.3333333333333335,4,Priority
4,5.5,1.25,3,Priority
8,6.875,2.625,4,Priority
9,4.333333333333333,2.3333333333333335,4,Priority
10,5.0,1.7,3,Priority
8,4.875,2.875,3,Priority
4,6.0,2.0,4,Priority
4,10.0,3.75,4,Priority
4,6.0,2.75,4,Priority
7,5.0,2.7142857142857144,3,Priority
7,5.428571428571429,1.5714285714285714,3,Priority
4,5.25,2.5,3,Priority
10,5.2,2.7,4,Priority
6,5.333333333333333,3.8333333333333335,3,Priority
10,5.7,3.2,4,Priority
10,5.4,2.0,4,Priority
8,3.375,2.125,4,SJF
10,5.3,3.3,3,Priority
4,5.25,2.0,4,Priority
4,8.75,0.75,3,Priority
10,5.9,3.1,3,Priority
3,5.333333333333333,2.6666666666666665,2,FCFS
8,6.75,2.0,4,Priority
4,5.5,2.0,3,Priority
3,5.0,1.6666666666666667,1,FCFS
10,6.1,3.7,4,Priority
9,5.111111111111111,2.888888888888889,1,RR
9,4.777777777777778,3.3333333333333335,4,Priority
10,5.0,2.6,4,Priority
3,2.0,1.0,3,SJF
5,5.0,3.4,4,Priority
3,3.6666666666666665,4.0,4,SJF
8,4.875,1.625,4,Priority
5,7.0,3.2,3,Priority
9,5.888888888888889,1.4444444444444444,3,Priority
6,7.166666666666667,2.8333333333333335,2,FCFS
9,6.111111111111111,2.2222222222222223,4,Priority
9,5.888888888888889,2.4444444444444446,4,Priority
7,5.285714285714286,2.142857142857143,4,Priority
3,5.0,2.0,4,Priority
8,7.625,2.75,4,Priority
9,5.444444444444445,1.7777777777777777,3,Priority
8,4.5,3.375,3,Priority
6,6.166666666666667,2.0,4,Priority
4,3.0,1.75,4,SJF
8,5.375,3.0,4,Priority
7,5.142857142857143,2.857142857142857,4,Priority
6,6.5,2.1666666666666665,4,Priority
10,5.0,2.1,4,Priority
6,7.666666666666667,1.6666666666666667,3,Priority
5,5.4,2.4,1,FCFS
9,6.111111111111111,2.2222222222222223,4,Priority
10,3.9,2.5,4,SJF
6,4.5,3.6666666666666665,4,Priority
9,5.555555555555555,2.6666666666666665,4,Priority
3,8.0,0.6666666666666666,3,Priority
3,4.0,0.6666666666666666,1,FCFS
3,7.333333333333333,2.6666666666666665,2,FCFS
9,7.555555555555555,2.6666666666666665,4,Priority
4,4.75,3.5,3,Priority
5,6.6,3.2,3,Priority
3,4.333333333333333,2.0,3,Priority
6,6.666666666666667,1.6666666666666667,4,Priority
4,6.0,4.75,3,Priority
5,8.6,2.4,4,Priority
7,5.428571428571429,2.2857142857142856,3,Priority
9,4.111111111111111,2.888888888888889,4,Priority
8,4.625,2.375,3,Priority
5,4.4,3.4,3,Priority
8,4.875,2.75,4,Priority
9,5.333333333333333,2.888888888888889,4,Priority
9,4.222222222222222,2.5555555555555554,4,Priority
7,6.571428571428571,2.857142857142857,4,Priority
8,3.25,2.125,4,SJF
10,4.5,3.0,4,Priority
10,4.8,2.2,4,Priority
